ТМЦ,,Ед.,Усред. себест-ть с НДС (руб.),Артемовский МАГАЗИН,"Камышлов, ул. Куйбышева, 2",Основной склад,"РК ""Ботанический"" пав. № 176","РК ""Верх-Исетский"" пав. № 75-76","Реж, ул. Ленина,8","г.Алапаевск ТЦ ул.Фрунзе,32"
"Ковер (Витебск) фризе 1,50*4,00",,шт,"2 580,00", , , , , , ,"1,000"
"Ковер (Витебск) фризе 1,60*2,30",,шт,"1 556,64", , , , ,"1,000", ,"1,000"
"Ковер (Витебск) фризе 1,60*2,30 ов.",,шт,"1 487,46", ,"1,000", , , , , 
"Ковер (Витебск) фризе 2,00*2,00 ов.",,шт,"1 616,80", ,"1,000", , , , , 
"Ковер (Витебск) фризе 2,00*2,50 ов.",,шт,"2 115,00", , , , , ,"2,000", 
"Ковер (Витебск) фризе 2,00*3,00",,шт,"2 750,65","1,000","1,000","1,000", ,"2,000","4,000","1,000"
"Ковер (Витебск) фризе 2,00*3,00 ов.",,шт,"2 557,02","2,000","2,000","1,000", ,"1,000", , 
"Ковер (Витебск) фризе 2,00*4,00",,шт,"3 387,59", ,"2,000","1,000", , ,"1,000","1,000"
"Ковер (Витебск) фризе 2,00*4,00 ов.",,шт,"3 412,00", ,"1,000", ,"1,000", , , 
"Ковер (Витебск) фризе 2,00*4,90 ов.",,шт,"2 891,00","1,000", , , , , ,"1,000"
"Ковер (Витебск) фризе 2,00*5,00",,шт,"4 230,00", ,"1,000", , , ,"1,000","1,000"
"Ковер (Витебск) фризе 2,00*5,00 ов.",,шт,"4 042,00", ,"1,000", , , , ,"2,000"
"Ковер (Витебск) фризе 2,40*3,40",,шт,"3 508,53", , , , , ,"2,000","1,000"
"Ковер (Витебск) фризе 2,40*3,40 ов.",,шт,"3 022,88","1,000", , , ,"1,000", , 
"Ковер (Витебск) фризе 2,50*3,00 ов.",,шт,"2 792,25", , , , , ,"1,000", 
"Ковер (Витебск) фризе 2,50*4,00",,шт,"3 686,00", ,"2,000", , , , , 
"Ковер (Витебск) фризе 2,50*4,00 ов.",,шт,"3 686,00","1,000", , ,"1,000", , , 
"Ковер (Витебск) фризе 2,50*4,50",,шт,"4 188,38", , , , , , ,"1,000"
"Ковер (Витебск) фризе 2,50*4,50 ов.",,шт,"4 188,38", , , , , , ,"1,000"
