ТМЦ,,Ед.,Усред. себест-ть с НДС (руб.),Артемовский МАГАЗИН,"Камышлов, ул. Куйбышева, 2",Основной склад,"РК ""Ботанический"" пав. № 176","РК ""Верх-Исетский"" пав. № 75-76","Реж, ул. Ленина,8","г.Алапаевск ТЦ ул.Фрунзе,32"
"Ковер циновка (Флурлюкс) 2,00*3,00",,шт,"2 368,80", , , , ,"1,000", , 
"Ковер циновка (Флурлюкс) 2,00*3,90 ов.",,шт, , , ,"1,000", , , , 
Паласы (Скрол),,,, , , , , , , 
Коврики (Скрол),,,, , , , , , , 
"Коврик (Скрол) 0,50*0,70",,шт,"73,01", , ,"6,000", ,"11,000", , 
"Коврик (Скрол) 0,50*0,80",,шт,"79,05", ,"17,000","41,000","5,000","15,000","16,000", 
"Коврик (Скрол) 0,60*0,60",,шт,"63,00", , ,"32,000", , , , 
"Коврик (Скрол) 0,60*0,80",,шт,"85,39", ,"10,000","77,000", , , , 
"Коврик (Скрол) 0,60*1,00",,шт,"108,49", ,"15,000","48,000","5,000","13,000","9,000", 
Паласы (Скрол),,,, , , , , , , 
"Палас (Скрол) 0,65*2,60",,шт,"371,80", , , , , , ,"1,000"
"Палас (Скрол) 0,70*1,50",,шт,"220,50", , ,"1,000", , , , 
"Палас (Скрол) 0,75*3,20",,шт,"492,80", , , , , , ,"1,000"
"Палас (Скрол) 0,80*2,00",,шт,"352,00", , , , , ,"1,000", 
"Палас (Скрол) 0,80*3,50",,шт,"588,00", , ,"1,000", , , , 
"Палас (Скрол) 0,90*1,50",,шт,"297,00", , , , , , ,"2,000"
"Палас (Скрол) 0,90*3,00",,шт,"567,00", , ,"1,000", , , , 
"Палас (Скрол) 0,95*3,50",,шт,"555,28", , ,"1,000", , , , 
"Палас (Скрол) 1,00*2,00",,шт,"397,25","2,000", ,"2,000", ,"2,000","3,000", 
"Палас (Скрол) 1,00*2,50",,шт,"525,00", , ,"2,000", , , , 
"Палас (Скрол) 1,00*3,00",,шт,"611,25", , ,"2,000", ,"2,000", , 
"Палас (Скрол) 1,00*4,00",,шт,"840,00", , ,"1,000", , , , 
"Палас (Скрол) 1,00*5,00",,шт,"1 050,00", , ,"1,000", , , , 
"Палас (Скрол) 1,10*2,00",,шт,"484,00", , , , , , ,"1,000"
"Палас (Скрол) 1,10*2,50",,шт,"577,50", , ,"1,000", , , , 
"Палас (Скрол) 1,40*2,00",,шт,"588,00", , , , , ,"1,000", 
"Палас (Скрол) 1,50*2,00",,шт,"601,78", , ,"2,000","1,000", ,"1,000","1,000"
"Палас (Скрол) 1,50*2,50",,шт,"791,25", , ,"3,000","1,000", ,"2,000", 
"Палас (Скрол) 1,50*3,00",,шт,"928,48","1,000","2,000", ,"1,000", ,"1,000","1,000"
"Палас (Скрол) 1,50*3,50",,шт,"1 102,50", , , , , ,"1,000", 
"Палас (Скрол) 1,50*4,00",,шт,"1 221,60","2,000","2,000","4,000", ,"1,000","1,000", 
"Палас (Скрол) 1,50*5,00",,шт,"1 612,50", ,"3,000","1,000", , , , 
"Палас (Скрол) 1,60*1,60",,шт,"563,20", , , , , , ,"1,000"
"Палас (Скрол) 1,90*3,00",,шт,"1 197,00", , , , ,"1,000", , 
"Палас (Скрол) 2,00*2,00",,шт,"840,00", ,"1,000","2,000", , ,"1,000", 
"Палас (Скрол) 2,00*2,50",,шт,"1 050,00", ,"1,000","1,000", , ,"3,000", 
"Палас (Скрол) 2,00*2,90",,шт,"1 218,00", , , , , , ,"1,000"
"Палас (Скрол) 2,00*3,00",,шт,"1 248,40", , ,"10,000","2,000","3,000","2,000","1,000"
"Палас (Скрол) 2,00*3,50",,шт,"1 439,37", ,"1,000","3,000", , ,"2,000","1,000"
"Палас (Скрол) 2,00*4,00",,шт,"1 584,09", ,"2,000","3,000","1,000","2,000","2,000","1,000"
"Палас (Скрол) 2,00*4,50",,шт,"1 769,60","1,000","2,000","2,000", , , , 
"Палас (Скрол) 2,00*5,00",,шт,"2 100,00", ,"1,000", , , ,"1,000", 
"Палас (Скрол) 2,10*3,05",,шт,"1 409,10", , , , , , ,"1,000"
"Палас (Скрол) 2,50*2,50",,шт,"1 375,00", , , , , , ,"1,000"
"Палас (Скрол) 2,50*3,00",,шт,"1 575,00", ,"2,000","2,000", , ,"1,000", 
"Палас (Скрол) 2,50*3,50",,шт,"1 837,50", ,"1,000","1,000", , ,"1,000", 
"Палас (Скрол) 2,50*4,00",,шт,"2 100,00", ,"1,000", , , ,"1,000", 
"Палас (Скрол) 2,50*4,50",,шт,"2 362,50", ,"2,000","1,000", , , , 
"Палас (Скрол) 2,75*3,50",,шт,"2 117,50", , , , , , ,"1,000"
"Палас (Скрол) 3,00*3,00",,шт,"1 890,00", ,"1,000", , , , , 
"Палас (Скрол) 3,00*3,50",,шт,"2 205,00", ,"2,000", , , , , 
"Палас (Скрол) 3,00*4,00",,шт,"2 244,00", ,"2,000","6,000", ,"2,000","1,000", 
"Палас (Скрол) 3,00*5,00",,шт,"3 187,50", ,"3,000", , , , ,"1,000"
"Палас (Скрол) 3,00*5,50",,шт,"3 465,00", ,"1,000", , , , , 
Паласы (Скрол) Фризе,,,, , , , , , , 
"Палас (Скрол) Фризе 1,00*1,70",,шт,"510,00", , ,"1,000", , , , 
"Палас (Скрол) Фризе 1,00*2,00",,шт,"600,00", , ,"1,000", , , , 
"Палас (Скрол) Фризе 1,50*2,00",,шт,"630,00", , , , , ,"1,000", 
"Палас (Скрол) Фризе 1,50*2,50",,шт,"787,50", , ,"2,000", , , , 
"Палас (Скрол) Фризе 2,00*2,50",,шт,"1 050,00", , , , , ,"1,000", 
"Палас (Скрол) Фризе 2,00*3,00",,шт,"1 440,00", , , , , ,"2,000", 
"Палас (Скрол) Фризе 2,00*4,00",,шт,"1 680,00", , , , , ,"2,000", 
"Палас (Скрол) Фризе 2,10*3,70",,шт,"1 709,40", , , , , , ,"1,000"
"Палас (Скрол) Фризе 2,50*4,00",,шт,"2 200,00", , ,"1,000", , , , 
"Палас (Скрол) Фризе 3,00*3,00",,шт,"1 980,00", , ,"1,000", , , , 
"Палас (Скрол) Фризе 3,00*4,00",,шт,"1 260,00", , ,"1,000", , ,"1,000", 
Паласы (Фелт),,,, , , , , , , 
Дорожка Фелт (Россия),,,, , , , , , , 
"Дорожка Фелт (Россия) 0,65м.",,,, , , , , , , 
"Дорожка Фелт (Россия) 0,65м L=25,0м",,рул,"2 600,00", , , , , , ,"0,196"
"Дорожка Фелт (Россия) 0,6м.",,,, , , , , , , 
"Дорожка Фелт (Россия) 0,6м L=18,0",,рул,"1 728,00", , , ,"0,311", , , 
"Дорожка Фелт (Россия) 0,6м L=20,0",,рул,"1 899,42", ,"1,004", , , , ,"0,695"
"Дорожка Фелт (Россия) 0,6м L=21,8",,рул,"2 118,96", , , ,"1,000", , , 
"Дорожка Фелт (Россия) 0,6м L=24,0",,рул,"2 404,80", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 0,6м L=25,0",,рул,"2 329,56","1,000", , , ,"0,919", , 
"Дорожка Фелт (Россия) 0,6м L=26,0",,рул,"2 464,80", , , , , ,"0,240", 
"Дорожка Фелт (Россия) 0,6м L=30,0",,рул,"2 938,50", , ,"1,000", , , ,"1,000"
"Дорожка Фелт (Россия) 0,6м L=30,6",,рул,"3 066,12", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 0,6м L=31,0",,рул,"3 013,20", , , , , ,"1,000", 
"Дорожка Фелт (Россия) 0,6м L=31,9",,рул,"3 062,40","0,067", , , , , , 
"Дорожка Фелт (Россия) 0,7м.",,,, , , , , , , 
"Дорожка Фелт (Россия) 0,7м. L=20,0м.",,рул,"2 268,39","1,000","3,196","7,000","0,293", ,"1,000", 
"Дорожка Фелт (Россия) 0,7м. L=20,3м.",,рул,"2 373,07", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 0,7м. L=20,4м.",,рул,"2 313,36", , , , , , ,"1,000"
"Дорожка Фелт (Россия) 0,7м. L=21,5м.",,рул,"2 438,10", , , , , ,"1,000", 
"Дорожка Фелт (Россия) 0,7м. L=21,6м.",,рул,"2 473,82", , , , , , ,"0,073"
"Дорожка Фелт (Россия) 0,7м. L=23,0м.",,рул,"2 517,48", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 0,7м. L=24,1м.",,рул,"2 648,59", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 0,7м. L=25,0м.",,рул,"2 793,47", , ,"1,000", ,"1,488", , 
"Дорожка Фелт (Россия) 0,7м. L=25,9м.",,рул,"2 864,54", , , , , ,"1,000", 
"Дорожка Фелт (Россия) 0,7м. L=26,0м.",,рул,"2 784,60", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 0,7м. L=28,9м.",,рул,"3 236,80", , , , , ,"1,000", 
"Дорожка Фелт (Россия) 0,7м. L=29,0м.",,рул,"2 925,23", , , , , ,"1,000", 
"Дорожка Фелт (Россия) 0,7м. L=30,0м.",,рул,"3 507,00", ,"0,033","1,967", , , , 
"Дорожка Фелт (Россия) 0,7м. L=30,1м.",,рул,"3 181,57", , , , , ,"0,945", 
"Дорожка Фелт (Россия) 0,7м. L=30,7м.",,рул,"3 481,38", , , , , , ,"1,000"
"Дорожка Фелт (Россия) 0,7м. L=32,0м.",,рул,"3 382,40","0,297", , , , , , 
"Дорожка Фелт (Россия) 0,7м. L=46,0м.",,рул,"4 646,00", , , , , , , 
"Дорожка Фелт (Россия) 0,8м.",,,, , , , , , , 
"Дорожка Фелт (Россия) 0,8м. L=16,9м.",,рул,"2 190,24", ,"0,763", , , , , 
"Дорожка Фелт (Россия) 0,8м. L=17,6м.",,рул,"2 351,36", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 0,8м. L=17,7м.",,рул,"2 138,16", , , , , ,"1,000", 
"Дорожка Фелт (Россия) 0,8м. L=17,8м.",,рул,"2 032,05", , , , , ,"1,000", 
"Дорожка Фелт (Россия) 0,8м. L=19,0м.",,рул,"2 462,40", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 0,8м. L=19,2м.",,рул,"2 488,32", , , , ,"1,000", , 
"Дорожка Фелт (Россия) 0,8м. L=19,3м.",,рул,"2 220,27", , , , , ,"1,000", 
"Дорожка Фелт (Россия) 0,8м. L=20,0м.",,рул,"2 595,32", , ,"3,000", ,"1,000","3,000","0,975"
"Дорожка Фелт (Россия) 0,8м. L=20,5м.",,рул,"2 738,80", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 0,8м. L=20,6м.",,рул,"2 463,76", , ,"1,000", ,"0,254", , 
"Дорожка Фелт (Россия) 0,8м. L=20,7м.",,рул,"2 765,52", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 0,8м. L=20,8м.",,рул,"2 487,68", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 0,8м. L=21,9м.",,рул,"2 790,06", , , , , ,"1,000", 
"Дорожка Фелт (Россия) 0,8м. L=23,9м.",,рул,"3 193,04", ,"1,000", , , , , 
"Дорожка Фелт (Россия) 0,8м. L=24,3м.",,рул,"3 149,28", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 0,8м. L=25,0м.",,рул,"3 869,58", , ,"1,000","0,100","0,929", ,"1,000"
"Дорожка Фелт (Россия) 0,8м. L=25,8м.",,рул,"3 446,88", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 0,8м. L=26,6м.",,рул,"3 362,21", , , , , ,"0,288", 
"Дорожка Фелт (Россия) 0,8м. L=26,7м.",,рул,"6 194,40", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 0,8м. L=28,80м.",,рул,"3 640,32", , , , , ,"0,958", 
"Дорожка Фелт (Россия) 0,8м. L=30,0м.",,рул,"4 008,00", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 0,8м. L=31,7м.",,рул,"4 057,60", ,"1,000", , , , , 
"Дорожка Фелт (Россия) 0,9м.",,,, , , , , , , 
"Дорожка Фелт (Россия) 0,9м. L=17,20м.",,рул,"2 585,16", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 0,9м. L=20,0м.",,рул,"2 942,72", , ,"2,000", , ,"2,000","1,000"
"Дорожка Фелт (Россия) 0,9м. L=20,1м.",,рул,"2 606,77", , , , ,"1,000", , 
"Дорожка Фелт (Россия) 0,9м. L=20,4м.",,рул,"3 066,12", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 0,9м. L=21,30м.",,рул,"3 067,20","0,353", , , , , , 
"Дорожка Фелт (Россия) 0,9м. L=22,9м.",,рул,"2 926,63", , , , , ,"0,372", 
"Дорожка Фелт (Россия) 0,9м. L=27,0м.",,рул,"3 936,60", ,"0,830", , , , , 
"Дорожка Фелт (Россия) 0,9м. L=30,0м.",,рул,"4 440,00", ,"1,000","1,000", ,"0,821", ,"0,270"
"Дорожка Фелт (Россия) 1,0м.",,,, , , , , , , 
"Дорожка Фелт (Россия) 1,0м. L=17,0 м.",,рул,"2 754,00", ,"1,000", , , , , 
"Дорожка Фелт (Россия) 1,0м. L=18,3 м.",,рул,"2 928,00", ,"1,000", , , , , 
"Дорожка Фелт (Россия) 1,0м. L=19,0 м.",,рул,"3 078,00", ,"1,000", , , , , 
"Дорожка Фелт (Россия) 1,0м. L=19,8м.",,рул,"3 306,60", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 1,0м. L=20,00м",,рул,"3 289,49", ,"1,496","9,000", , ,"1,000","1,120"
"Дорожка Фелт (Россия) 1,0м. L=20,30м",,рул,"3 288,60", , , , ,"0,758", , 
"Дорожка Фелт (Россия) 1,0м. L=20,40м",,рул,"3 372,76", , ,"2,000", , ,"1,000", 
"Дорожка Фелт (Россия) 1,0м. L=20,50м",,рул,"3 423,50", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 1,0м. L=21,0 м.",,рул,"3 402,00","0,770", , , , , , 
"Дорожка Фелт (Россия) 1,0м. L=21,2 м.",,рул,"3 434,40", , , , ,"1,000", , 
"Дорожка Фелт (Россия) 1,0м. L=21,30 м.",,рул,"3 408,00", , , , , ,"1,000", 
"Дорожка Фелт (Россия) 1,0м. L=21,40 м.",,рул,"3 466,80", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 1,0м. L=25,00 м.",,рул,"4 175,00", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 1,0м. L=25,20 м.",,рул,"4 257,64", , , ,"0,969", , , 
"Дорожка Фелт (Россия) 1,0м. L=25,80 м.",,рул,"4 179,60", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 1,0м. L=29,80 м.",,рул,"4 976,60", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 1,0м. L=30,50 м.",,рул,"4 941,00", , , , ,"1,000", , 
"Дорожка Фелт (Россия) 1,0м. L=31,00 м.",,рул,"4 816,00", , , , , ,"0,040", 
"Дорожка Фелт (Россия) 1,0м. L=34,40 м.",,рул,"4 957,04", , , , , ,"1,000", 
"Дорожка Фелт (Россия) 1,0м. L=35,00 м.",,рул,"4 860,44", , , , , ,"0,711", 
"Дорожка Фелт (Россия) 1,0м. L=36,00 м.",,рул,"5 688,00", , , , , ,"1,000", 
"Дорожка Фелт (Россия) 1,1м.",,,, , , , , , , 
"Дорожка Фелт (Россия) 1,1м. L=19,7м.",,рул,"3 528,36", , , , , , ,"1,000"
"Дорожка Фелт (Россия) 1,1м. L=20,0м.",,рул,"3 595,71","0,948","2,000","2,000", ,"1,000", , 
"Дорожка Фелт (Россия) 1,1м. L=20,6м.",,рул,"3 670,92", , , , , ,"1,000", 
"Дорожка Фелт (Россия) 1,1м. L=25,0м.",,рул,"4 202,46", , , , ,"0,582", , 
"Дорожка Фелт (Россия) 1,1м. L=26,5м.",,рул,"125 140,95", , ,"0,038", , , , 
"Дорожка Фелт (Россия) 1,1м. L=30,0м.",,рул,"5 346,01", , , , , , ,"0,335"
"Дорожка Фелт (Россия) 1,1м. L=30,7м.",,рул,"5 470,75", ,"0,300", , , ,"0,449", 
"Дорожка Фелт (Россия) 1,2м.",,,, , , , , , , 
"Дорожка Фелт (Россия) 1,2м. L=18,0м.",,рул,"3 607,20", ,"1,000", , , , , 
"Дорожка Фелт (Россия) 1,2м. L=19,9м.",,рул,"3 987,96", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 1,2м. L=20,00м.",,рул,"3 960,73", ,"1,000","7,000","1,000","2,000","1,000","1,000"
"Дорожка Фелт (Россия) 1,2м. L=20,1м.",,рул,"4 028,04", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 1,2м. L=20,4м.",,рул,"4 088,16", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 1,2м. L=21,0м.",,рул,"4 208,34", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 1,2м. L=21,50м.",,рул,"4 050,60", , ,"1,000", ,"0,337", , 
"Дорожка Фелт (Россия) 1,2м. L=23,8 м",,рул,"4 569,60", ,"0,296", , , ,"0,209", 
"Дорожка Фелт (Россия) 1,2м. L=24,2м.",,рул,"4 228,22", , , , , ,"1,000", 
"Дорожка Фелт (Россия) 1,2м. L=25,0м.",,рул,"4 860,00", , , ,"0,024", ,"1,000","0,367"
"Дорожка Фелт (Россия) 1,2м. L=26,9м.",,рул,"5 100,24", , , , , ,"1,000", 
"Дорожка Фелт (Россия) 1,2м. L=27,0м.",,рул,"5 119,20", , , , , ,"1,000", 
"Дорожка Фелт (Россия) 1,2м. L=27,2м.",,рул,"5 289,58", , , , , , ,"1,000"
"Дорожка Фелт (Россия) 1,2м. L=28,0м.",,рул,"5 140,80", , , , , ,"1,000", 
"Дорожка Фелт (Россия) 1,2м. L=29,2м.",,рул,"4 975,68", , , , , ,"1,000", 
"Дорожка Фелт (Россия) 1,2м. L=30,0м.",,рул,"6 012,00", , ,"2,000", , , , 
"Дорожка Фелт (Россия) 1,2м. L=33,0м.",,рул,"6 613,20", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 1,2м. L=34,4м.",,рул,"6 522,26","0,333", , , , , , 
"Дорожка Фелт (Россия) 1,3м.",,,, , , , , , , 
"Дорожка Фелт (Россия) 1,3м. L=20,0м.",,рул,"4 214,45","0,082", ,"1,000", ,"1,000","1,000","1,000"
"Дорожка Фелт (Россия) 1,3м. L=20,5м.",,рул,"4 450,55", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 1,3м. L=21,7м.",,рул,"4 005,82", , , , , ,"1,000", 
"Дорожка Фелт (Россия) 1,3м. L=23,0м.",,рул,"4 913,59", , , , ,"0,018", , 
"Дорожка Фелт (Россия) 1,3м. L=25,0м.",,рул,"5 285,94", ,"0,024", , , , ,"0,457"
"Дорожка Фелт (Россия) 1,3м. L=30,0м.",,рул,"6 318,00","1,000", , , , , , 
"Дорожка Фелт (Россия) 1,3м. L=30,9м.",,рул,"6 507,54", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 1,3м. L=31,6м.",,рул,"6 654,96", ,"1,000", , , , , 
"Дорожка Фелт (Россия) 1,3м. L=35,0м.",,рул,"6 507,51", , , , , ,"0,759", 
"Дорожка Фелт (Россия) 1,4м.",,,, , , , , , , 
"Дорожка Фелт (Россия) 1,4 м. L=20,10 м.",,рул,"4 558,68", ,"1,000", , , , , 
"Дорожка Фелт (Россия) 1,4 м. L=25,00 м.",,рул,"5 377,08","0,617","0,103", , ,"0,284", , 
"Дорожка Фелт (Россия) 1,4 м. L=25,10 м.",,рул,"5 355,40", , , , , ,"0,547", 
"Дорожка Фелт (Россия) 1,4 м. L=26,10 м.",,рул,"7 127,80", , , , , , ,"0,803"
"Дорожка Фелт (Россия) 1,4 м. L=30,00 м.",,рул,"6 804,00", , , , ,"1,000", , 
"Дорожка Фелт (Россия) 1,5м.",,,, , , , , , , 
"Дорожка Фелт (Россия) 1,5 м. L=17,9 м.",,рул,"3 831,50", , , , , , ,"1,000"
"Дорожка Фелт (Россия) 1,5 м. L=19,5 м.",,рул,"4 884,75", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 1,5 м. L=20,0 м.",,рул,"4 919,76", ,"1,823","4,000", , , ,"0,966"
"Дорожка Фелт (Россия) 1,5 м. L=20,1 м.",,рул,"5 035,05", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 1,5 м. L=20,5 м.",,рул,"4 981,50", , ,"2,000", , , , 
"Дорожка Фелт (Россия) 1,5 м. L=23,90 м.",,рул,"5 442,92", , , , , ,"0,475", 
"Дорожка Фелт (Россия) 1,5 м. L=24,00 м.",,рул,"6 012,00", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 1,5 м. L=24,70 м.",,рул,"5 261,10", , , , , ,"1,000", 
"Дорожка Фелт (Россия) 1,5 м. L=25,00 м.",,рул,"6 000,00","0,516", , , , ,"1,000", 
"Дорожка Фелт (Россия) 1,5 м. L=27,10 м.",,рул,"10 632,26", , , , ,"0,241", , 
"Дорожка Фелт (Россия) 1,6м.",,,, , , , , , , 
"Дорожка Фелт (Россия) 1,6м. L=19,8м.",,рул,"4 498,56", , , , , ,"0,521", 
"Дорожка Фелт (Россия) 1,6м. L=20,0м.",,рул,"5 184,00", , , , , , ,"0,700"
"Дорожка Фелт (Россия) 1,6м. L=20,6м.",,рул,"5 504,32", , ,"1,000", , , , 
"Дорожка Фелт (Россия) 1,6м. L=21,9м.",,рул,"5 676,48", ,"0,689", , , , , 
"Дорожка Фелт (Россия) 1,6м. L=22,3м.",,рул,"5 708,80","0,276", , , , , , 
"Дорожка Фелт (Россия) 1,6м. L=25,0м.",,рул,"6 374,89", , , , ,"0,090", , 
"Дорожка Фелт (Россия) 1,8м",,,, , , , , , , 
"Дорожка Фелт (Россия) 1,8м L=20,2м",,рул,"5 055,05", , , , ,"0,105", , 
"Дорожка Фелт (Россия) 1,8м L=24,5м",,рул,"5 625,98", , , , , ,"0,189", 
Коврик Тафт,,,, , , , , , , 
"Коврики Тафт 0,80*1,00",,шт,"134,80", , , , ,"1,000", ,"1,000"
"Коврики Тафт 0,80*1,50",,шт,"202,61","5,000","12,000","5,000","2,000","2,000","6,000","5,000"
"Коврики Тафт 1,00*1,30",,шт,"219,70","1,000", , , ,"1,000","1,000", 
"Коврики Тафт 1,00*2,00",,шт,"340,00", , , , ,"1,000","1,000", 
"Коврики Тафт 1,50*2,00",,шт,"505,69", ,"5,000", , , ,"5,000","6,000"
Коврик Фелт (Россия),,,, , , , , , , 
"Коврик Фелт (Россия) 0,50*0,70",,шт,"61,06","4,000","15,000","56,000","2,000","5,000","12,000", 
"Коврик Фелт (Россия) 0,50*0,90",,шт,"75,15", , , , ,"1,000", , 
"Коврик Фелт (Россия) 0,60*0,60",,шт,"60,12","3,000", , , ,"1,000", , 
"Коврик Фелт (Россия) 0,60*0,80",,шт,"80,58","7,000", ,"11,000","6,000", ,"12,000", 
"Коврик Фелт (Россия) 0,60*1,00",,шт,"102,95","1,000", ,"22,000", , , , 
"Коврик Фелт (Россия) 0,8*1,0",,шт,"133,60", , , , ,"1,000","6,000", 
"Коврик Фелт (Россия) 0,8*1,2",,шт,"174,29","4,000", , , , ,"1,000", 
"Коврик Фелт (Россия) 0,80*1,50",,шт,"223,20", , , , , ,"3,000", 
Палас Carpet,,,, , , , , , , 
"Палас Carpet Фелт (Россия) 3,00х4,00",,шт,"1 380,00", , , , , , ,"1,000"
Палас Фелт,,,, , , , , , , 
"Палас Фелт (Россия) 0,6х1,3",,шт,"130,26", , , ,"1,000", , , 
"Палас Фелт (Россия) 0,6х1,5",,шт,"189,00", ,"2,000", , ,"1,000", , 
"Палас Фелт (Россия) 0,6х2,0",,шт,"203,05", ,"3,000","8,000","1,000","2,000", , 
"Палас Фелт (Россия) 0,6х2,5",,шт,"258,22", , ,"1,000","1,000", , , 
"Палас Фелт (Россия) 0,6х2,7",,шт,"270,54", , , ,"1,000", , , 
"Палас Фелт (Россия) 0,6х3,0",,шт,"309,60", , ,"1,000", , , , 
"Палас Фелт (Россия) 0,7х1,4",,шт,"168,56", , , , ,"1,000", , 
"Палас Фелт (Россия) 0,7х2,0",,шт,"235,33", ,"2,000", ,"2,000","2,000","1,000","2,000"
"Палас Фелт (Россия) 0,7х2,5",,шт,"290,94", , , ,"1,000","1,000", , 
"Палас Фелт (Россия) 0,7х3,0",,шт,"351,75", ,"1,000","1,000", ,"1,000","1,000", 
"Палас Фелт (Россия) 0,7х3,5",,шт,"421,40", , ,"1,000", , , , 
"Палас Фелт (Россия) 0,7х4,0",,шт,"467,60", , , , , ,"1,000", 
"Палас Фелт (Россия) 0,8х0,9",,шт,"120,24", , , , ,"1,000", , 
"Палас Фелт (Россия) 0,8х1,5",,шт,"200,30", ,"1,000", ,"1,000", , , 
"Палас Фелт (Россия) 0,8х2,0",,шт,"267,17", , , , ,"2,000","2,000", 
"Палас Фелт (Россия) 0,8х2,5",,шт,"332,65", , , , ,"1,000", ,"1,000"
"Палас Фелт (Россия) 0,8х3,0",,шт,"400,78", , , , ,"2,000", , 
"Палас Фелт (Россия) 0,8х3,5",,шт,"481,60", , ,"1,000", , , , 
"Палас Фелт (Россия) 0,9*1,4",,шт,"210,42", , , ,"1,000", , , 
"Палас Фелт (Россия) 0,9*2,0",,шт,"304,58","1,000", ,"5,000","2,000", ,"1,000", 
"Палас Фелт (Россия) 0,9*2,5",,шт,"381,38", ,"1,000","3,000", ,"2,000", , 
"Палас Фелт (Россия) 0,9*3,0",,шт,"457,65", ,"1,000","2,000", , ,"1,000", 
"Палас Фелт (Россия) 0,9*3,05",,шт,"472,14", , , , , , ,"1,000"
"Палас Фелт (Россия) 0,9*3,50",,шт,"541,80", ,"1,000", , , , , 
"Палас Фелт (Россия) 0,9*4,00",,шт,"601,20", , ,"2,000", , , , 
"Палас Фелт (Россия) 1,00*1,30 икона",,шт,"227,50", , , , , ,"1,000", 
"Палас Фелт (Россия) 1,0х1,0",,шт,"172,00", , ,"2,000", , , , 
"Палас Фелт (Россия) 1,0х1,5",,шт,"258,00", ,"1,000", , , , , 
"Палас Фелт (Россия) 1,0х1,9",,шт,"317,30", , , , , , ,"1,000"
"Палас Фелт (Россия) 1,0х2,0",,шт,"345,64","1,000","2,000","5,000","2,000","2,000","1,000", 
"Палас Фелт (Россия) 1,0х2,5",,шт,"425,31","1,000", ,"5,000", ,"1,000","1,000", 
"Палас Фелт (Россия) 1,0х3,0",,шт,"512,99","1,000","3,000","5,000", , ,"1,000", 
"Палас Фелт (Россия) 1,0х3,5",,шт,"593,29", ,"4,000","2,000", , , , 
"Палас Фелт (Россия) 1,0х3,7",,шт,"636,40", , ,"1,000", , , , 
"Палас Фелт (Россия) 1,0х4,0",,шт,"688,00", ,"1,000", , , , , 
"Палас Фелт (Россия) 1,0х4,5",,шт,"751,50","1,000", , , , ,"1,000", 
"Палас Фелт (Россия) 1,0х5,0",,шт,"839,17","1,000","2,000", , ,"2,000","1,000", 
"Палас Фелт (Россия) 1,0х5,5",,шт,"907,50","1,000", , , , , , 
"Палас Фелт (Россия) 1,0х6,0",,шт,"1 032,00", , ,"1,000", , , , 
"Палас Фелт (Россия) 1,1*2,0",,шт,"366,30", , ,"1,000", , ,"1,000", 
"Палас Фелт (Россия) 1,1*2,5",,шт,"468,42", ,"1,000","1,000", , ,"1,000", 
"Палас Фелт (Россия) 1,1*3,0",,шт,"551,10", , ,"1,000", , , , 
"Палас Фелт (Россия) 1,1*3,3",,шт,"606,21", , ,"1,000", , , , 
"Палас Фелт (Россия) 1,1*4,0",,шт,"745,80", , ,"1,000", ,"1,000", , 
"Палас Фелт (Россия) 1,1*4,2",,шт,"771,54", , , , , ,"1,000", 
"Палас Фелт (Россия) 1,2х1,4",,шт,"288,96", , ,"1,000", , , , 
"Палас Фелт (Россия) 1,2х2,0",,шт,"406,80", , ,"1,000", , , , 
